Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-06-6,0.443346,0,0.91728,0,0.568824,0.00338586,0,0.003676,0.0986282,,,,,,,,,,
2017-07-06-7,3.28995,0,5.38574,0.306306,4.46256,0.148978,0,0.782987,5.79866,,,,,,,,,,
2017-07-06-8,12.1136,0,14.7109,0.39312,10.4115,0.182836,0,0.900619,11.4443,,,,,,,,,,
2017-07-06-9,24.9625,1.69142,18.2653,0.48321,15.8391,0.504493,3.11312,3.19076,22.511,,,,,,,,,,
2017-07-06-10,32.9428,6.56769,40.0638,1.04832,32.5584,0.423233,10.3188,7.82252,33.4588,,,,,,,,,,
2017-07-06-11,37.406,15.5047,26.5864,4.12285,27.3476,5.04832,12.3566,20.2915,18.1748,,,,,,,,,,
2017-07-06-12,23.5352,17.1525,40.4209,10.1703,37.0549,6.28077,14.0793,29.7535,17.4912,,,,,,,,,,
2017-07-06-13,31.1126,7.04424,43.8345,5.67076,47.7779,1.09702,5.48307,19.5747,30.102,,,,,,,,,,
2017-07-06-14,36.349,6.26565,40.303,1.35954,45.4653,2.77641,7.47286,6.02496,31.1393,,,,,,,,,,
2017-07-06-15,24.5706,10.3298,33.0876,7.45945,30.4863,5.95234,8.29481,5.01406,35.9177,,,,,,,,,,
2017-07-06-16,28.7337,6.20189,27.8296,4.77805,24.2563,2.38365,1.65417,5.13904,23.834,,,,,,,,,,
2017-07-06-17,15.6874,5.91663,18.1425,3.4398,10.0966,2.43105,2.79119,5.63898,9.60094,,,,,,,,,,
2017-07-06-18,8.48575,3.94666,10.2326,1.96069,5.28871,2.58341,2.69872,2.73127,2.48611,,,,,,,,,,
2017-07-06-19,1.63551,2.49351,6.95003,2.31449,5.58667,1.91301,1.51718,2.23133,2.23784,,,,,,,,,,
2017-07-06-20,0.151386,0.060408,2.02293,0.20475,1.57781,0.362287,0,0.38598,0.496542,,,,,,,,,,
2017-07-06-21,0.00540666,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-06-22,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-06-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-07-0,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-07-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-07-2,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-07-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-07-4,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-07-5,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-07-6,0.0865066,0,0.044226,0,0.0507879,0,0,0.0771959,0.0340097,,,,,,,,,,
2017-07-07-7,1.57604,0.295328,4.33087,1.89189,2.13648,1.26293,0.00342478,1.49245,2.1052,,,,,,,,,,
2017-07-07-8,6.17981,2.82575,17.389,5.06142,8.79308,1.99427,0.00342478,0.779311,5.82246,,,,,,,,,,
2017-07-07-9,18.1285,5.39645,26.072,9.02866,22.0758,4.7165,1.49663,4.32665,10.5668,,,,,,,,,,
2017-07-07-10,30.9748,4.76552,41.9656,14.2506,24.6457,14.2037,1.91445,2.47395,16.9368,,,,,,,,,,
2017-07-07-11,22.8323,6.1247,29.3906,8.92546,37.5424,12.4363,6.14062,3.48484,16.4981,,,,,,,,,,
2017-07-07-12,23.3162,11.4943,17.3202,9.78869,20.972,10.2456,13.7025,10.4398,29.228,,,,,,,,,,
2017-07-07-13,32.7319,11.1218,10.226,23.7166,24.1615,23.1254,18.6548,35.8961,23.1742,,,,,,,,,,
2017-07-07-14,25.5546,20.9314,36.6437,26.3079,29.6804,9.95781,20.487,15.9097,20.3242,,,,,,,,,,
