Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-04-0,0,645.66,870.3,370.2,492.6,404.25,18.99,670.14,915.66,720.72,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-04-1,1,557.1,742.32,380.4,465.6,388.62,27.99,816.48,1010.79,685.8,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-04-2,2,507.78,685.98,319.2,363,390.38,18.9,763.56,1052.91,675.36,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-04-3,3,544.32,653.76,363.6,370.8,412.34,20.7,748.44,1011.78,661.32,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-04-4,4,525.42,642.6,327.6,329.4,309.93,27.72,509.04,1040.22,659.88,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-04-5,5,520.2,662.04,796.2,606.6,390.85,19.35,727.2,1013.31,663.84,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-04-6,6,630.36,721.8,1036.2,1009.2,399.88,23.13,739.08,1095.3,697.32,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-04-7,7,738.9,855.72,1182,1353,438.27,107.1,712.08,1046.61,729.72,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-04-8,8,795.24,882.9,1786.2,1339.8,446.66,438.66,850.68,1095.66,837,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-04-9,9,687.24,867.78,1708.8,967.2,469.87,517.68,830.7,1075.68,1169.28,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
