Date,DA,RT,Signal,reg_ccp,reg_pcp
2017-07-16-22,24.22,25.2,0.302112029,6.55,3.7
2017-07-16-23,21.76,21.1,0.130088766,5,4.39
2017-07-17-0,20.04,21.64,-0.517906336,4.74,2.45
2017-07-17-1,19.2,21.51,-0.519742883,5.36,1
2017-07-17-2,18.87,20.65,-0.584022039,7.99,0.13
2017-07-17-3,18.04,19.38,-0.626874809,3.16,0.77
2017-07-17-4,18.39,19.26,-0.493112948,2.93,1.05
2017-07-17-5,18.84,20.28,0.247627793,5.49,4.72
2017-07-17-6,20.95,20.75,0.264768901,7.15,3.84
2017-07-17-7,22.42,23.53,0.359351087,9.69,5.77
2017-07-17-8,23.73,25.59,0.174471993,4.45,4.57
2017-07-17-9,26.33,34.02,0.197122743,15.06,4.24
2017-07-17-10,30.02,40.03,0.232935415,23.98,3.29
2017-07-17-11,33.79,36.32,0.235690236,19.61,3.81
2017-07-17-12,36.39,57.3,0.198653199,34.7,4.39
2017-07-17-13,38.14,38.08,0.157943067,8.99,2.28
2017-07-17-14,42.56,51.59,-0.638506275,16.56,5.35
2017-07-17-15,43.05,60.93,-0.643403734,24.77,6.43
2017-07-17-16,43.95,52.71,-0.629935721,14.61,5.63
2017-07-17-17,42.87,69.55,-0.558922559,33.94,6.97
2017-07-17-18,37.1,44.32,0.210284665,12.84,4.08
2017-07-17-19,35.52,40.389999,0.21671258,24.44,0.67
2017-07-17-20,33.41,43.9,0.211815121,31.13,5.02
2017-07-17-21,30.09,36.63,0.067340067,26.11,3.64
2017-07-17-22,25.65,25.92,0.149678604,13.57,4.17
2017-07-17-23,23.04,23.31,0.238445057,11.1,5.26
2017-07-18-0,21.76,21.69,-0.509335782,7.25,1.45
2017-07-18-1,20.56,20.56,-0.58432813,2.22,0.82
2017-07-18-2,19.36,19.13,-0.604224059,3.24,0.51
2017-07-18-3,18.59,18.33,-0.625956535,3.21,0.73
2017-07-18-4,18.51,18.61,-0.626262626,1.95,1
2017-07-18-5,19.85,20.89,0.25956535,5.38,4.06
2017-07-18-6,21.6,21.259999,0.265993266,4.01,3.4
2017-07-18-7,22.3,22.7,0.173553719,2.69,4.5
2017-07-18-8,24.61,25.05,0.268135904,6.99,5.04
2017-07-18-9,27.48,28.25,0.214569942,14.56,4.2
2017-07-18-10,31.76,29.71,0.249158249,13.08,3.27
2017-07-18-11,36.09,37.56,0.251606979,29.3,3.27
2017-07-18-12,39.89,35.67,0.215488215,15.3,3.78
2017-07-18-13,41.61,38.670001,0.198347107,12.8,3
2017-07-18-14,42.9,51.189999,-0.47107438,16.89,0
2017-07-18-15,48.78,93.52,-0.625956535,59.27,4.51
2017-07-18-16,54.9,111.41,-0.747780839,83.98,2.04
2017-07-18-17,52.85,101.03,-0.723905724,68.3,3.72
2017-07-18-18,44.74,67.58,0.214569942,31.07,4.49
2017-07-18-19,41.25,51.48,0.218243036,21.18,2.93
2017-07-18-20,39.14,46.09,0.197122743,25.72,4.42
2017-07-18-21,35.41,48.98,0.119375574,39.98,3.89
2017-07-18-22,28.99,30.98,0.199571472,15.33,4.09
2017-07-18-23,25.35,29.45,0.25191307,14.92,6.38
2017-07-19-0,23.39,25.57,-0.498316498,1.37,6.74
2017-07-19-1,22.41,23.87,-0.581267218,3.12,1.01
2017-07-19-2,21.27,22.24,-0.595041322,3.64,0
2017-07-19-3,20.3,21.23,-0.617385981,1.79,1.04
2017-07-19-4,20.46,21.42,-0.550352005,1.58,1.28
2017-07-19-5,21.48,22.4,0.257116621,2.38,4.57
2017-07-19-6,22.54,24.1,0.224977043,7.46,0.47
2017-07-19-7,24.27,25.33,0.282828283,6.9,0.92
2017-07-19-8,26.49,32.22,0.227119682,11.84,3.5
2017-07-19-9,30.85,33.62,0.277930823,14.34,3.44
2017-07-19-10,34.61,36.85,0.400979492,23.33,8.92
2017-07-19-11,41.08,41.369999,0.30731558,22.45,2.85
